2016-11-09, 22:36:00, 298, 20Q 58ms 53E 0T 38ms 21max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 22:37:00, 498, 20Q 110ms 53E 0T 30ms 16max, 0, 6, 66, SRV-WEB12, v3, v1
2016-11-09, 22:38:00, 413, 20Q 86ms 53E 0T 45ms 33max, 0, 5, 66, SRV-WEB13, v3, v1
2016-11-09, 22:39:00, 329, 20Q 64ms 53E 0T 36ms 19max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 22:40:00, 270, 19Q 40ms 53E 0T 36ms 18max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 22:41:00, 409, 20Q 55ms 53E 0T 33ms 18max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-09, 22:42:01, 206, 20Q 52ms 53E 0T 23ms 12max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-09, 22:43:00, 342, 19Q 45ms 53E 0T 36ms 18max, 0, 6, 66, SRV-WEB12, v3, v1
2016-11-09, 22:44:00, 338, 20Q 115ms 53E 0T 27ms 14max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 22:45:00, 247, 20Q 47ms 53E 0T 27ms 14max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 22:46:01, 310, 20Q 48ms 53E 0T 60ms 45max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 22:47:00, 223, 20Q 56ms 53E 0T 22ms 12max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-09, 22:48:00, 285, 20Q 82ms 53E 0T 97ms 58max, 0, 3, 66, SRV-WEB14, v3, v1
2016-11-09, 22:49:00, 211, 19Q 32ms 53E 0T 27ms 15max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-09, 22:50:00, 340, 19Q 47ms 53E 0T 36ms 20max, 0, 6, 66, SRV-WEB12, v3, v1
2016-11-09, 22:51:00, 207, 20Q 42ms 53E 0T 21ms 14max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-09, 22:52:00, 469, 20Q 64ms 53E 0T 47ms 25max, 0, 6, 66, SRV-WEB11, v3, v1
2016-11-09, 22:53:00, 329, 19Q 92ms 53E 0T 35ms 19max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-09, 22:54:00, 307, 19Q 44ms 53E 0T 29ms 15max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-09, 22:55:01, 701, 20Q 60ms 53E 0T 34ms 17max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-09, 22:56:00, 320, 20Q 127ms 53E 0T 42ms 26max, 0, 3, 66, SRV-WEB14, v3, v1
2016-11-09, 22:57:00, 345, 20Q 97ms 53E 0T 45ms 28max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-09, 22:58:00, 278, 19Q 55ms 53E 0T 52ms 28max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 22:59:00, 390, 20Q 51ms 53E 0T 31ms 16max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:00:00, 181, 20Q 40ms 53E 0T 21ms 12max, 0, 2, 66, SRV-WEB13, v3, v1
2016-11-09, 23:01:00, 191, 20Q 89ms 53E 0T 19ms 10max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-09, 23:02:00, 359, 20Q 87ms 53E 0T 32ms 18max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 23:03:00, 651, 20Q 107ms 53E 0T 29ms 15max, 0, 10, 66, SRV-WEB12, v3, v1
2016-11-09, 23:04:00, 274, 20Q 72ms 53E 0T 34ms 18max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-09, 23:05:00, 268, 20Q 76ms 53E 0T 58ms 42max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 23:06:00, 444, 20Q 89ms 53E 0T 88ms 67max, 0, 8, 66, SRV-WEB12, v3, v1
2016-11-09, 23:07:00, 384, 20Q 68ms 53E 0T 38ms 20max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:08:00, 186, 20Q 67ms 53E 0T 21ms 11max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-09, 23:09:00, 291, 19Q 36ms 53E 0T 29ms 15max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:10:00, 283, 20Q 92ms 53E 0T 34ms 19max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:11:00, 290, 20Q 147ms 53E 0T 23ms 13max, 0, 14, 66, SRV-WEB13, v3, v1
2016-11-09, 23:12:00, 325, 19Q 47ms 53E 0T 60ms 41max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 23:13:00, 388, 20Q 81ms 53E 0T 59ms 31max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-09, 23:14:00, 293, 19Q 38ms 53E 0T 30ms 15max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 23:15:00, 331, 20Q 104ms 53E 0T 43ms 26max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:16:00, 336, 20Q 56ms 53E 0T 32ms 18max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-09, 23:17:00, 290, 20Q 61ms 53E 0T 39ms 20max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-09, 23:18:00, 280, 19Q 34ms 53E 0T 39ms 22max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 23:19:00, 239, 20Q 104ms 53E 0T 30ms 19max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-09, 23:20:01, 404, 20Q 152ms 53E 0T 28ms 14max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-09, 23:21:00, 342, 20Q 53ms 53E 0T 30ms 16max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-09, 23:22:00, 275, 19Q 45ms 53E 0T 32ms 19max, 0, 6, 66, SRV-WEB11, v3, v1
2016-11-09, 23:23:00, 354, 20Q 88ms 53E 0T 33ms 18max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-09, 23:24:00, 304, 20Q 152ms 53E 0T 29ms 15max, 0, 2, 66, SRV-WEB14, v3, v1
